user_id,country,device,traffic_source,past_7d_gpv
u0,UK,desktop,organic,105.34784628143805
u1,US,desktop,paid,106.43395612392027
u2,UK,desktop,organic,86.63819092713902
u3,UK,desktop,paid,119.84084699073045
u4,US,mobile,paid,96.50080486609183
u5,US,desktop,paid,84.88509681014311
u6,UK,mobile,paid,110.73019687140807
u7,IN,mobile,organic,82.03064036417925
u8,UK,desktop,organic,100.56362314738257
u9,UK,mobile,paid,99.81762006711593
u10,UK,mobile,paid,121.71791131663156
u11,UK,mobile,organic,109.49396465759905
u12,US,mobile,paid,99.49946082509712
u13,UK,desktop,organic,116.35532598400574
u14,IN,mobile,paid,127.80415098034626
u15,US,desktop,organic,111.15620612703725
u16,IN,mobile,paid,100.20705239686761
u17,IN,mobile,paid,73.7632753529968
u18,IN,desktop,organic,78.69772673849255
u19,IN,mobile,paid,93.89550591290664
u20,US,mobile,paid,87.80975595681434
u21,US,mobile,organic,96.26057394029108
u22,IN,desktop,paid,101.13299849794214
u23,IN,mobile,organic,110.59385508713461
u24,US,desktop,organic,98.59002443881818
u25,US,mobile,paid,109.73003287652404
u26,US,desktop,paid,101.2894882962024
u27,UK,desktop,paid,60.490668672922574
u28,UK,mobile,paid,81.21329212362491
u29,UK,mobile,paid,97.1182488855677
u30,IN,desktop,paid,75.80610514317785
u31,UK,desktop,paid,111.9985745999241
u32,IN,mobile,organic,130.61501664687395
u33,IN,desktop,paid,124.37523703394633
u34,UK,mobile,organic,95.73114258139584
u35,IN,mobile,paid,129.81452273699904
u36,UK,mobile,paid,102.97334914404223
u37,UK,mobile,organic,93.25828057763921
u38,US,desktop,paid,87.7319467291812
u39,UK,mobile,paid,93.95060627023743
u40,US,desktop,organic,92.23646362917543
u41,UK,mobile,paid,103.40832444750976
u42,UK,desktop,paid,103.2114796209973
u43,US,mobile,paid,100.0609204030683
u44,US,desktop,organic,108.73876339492699
u45,UK,desktop,paid,123.81292549572683
u46,IN,mobile,paid,118.99108270882647
u47,US,mobile,paid,70.30204063100193
u48,IN,mobile,paid,48.9215773019609
u49,IN,mobile,organic,118.68639822478548
u50,IN,desktop,organic,72.66242603169158
u51,US,mobile,paid,95.50469196214632
u52,IN,desktop,paid,76.59773947881281
u53,US,desktop,organic,63.9603912483996
u54,IN,mobile,organic,110.82925456409576
u55,UK,desktop,paid,115.18310320605293
u56,UK,desktop,organic,88.4697919854656
u57,US,desktop,paid,48.179154157101806
u58,UK,desktop,organic,89.07511103495034
u59,UK,mobile,organic,107.83608010805094
u60,IN,mobile,organic,70.42176862451743
u61,US,mobile,organic,103.66719839558311
u62,IN,mobile,paid,99.69380301654009
u63,IN,desktop,organic,111.58582999202177
u64,IN,desktop,organic,102.39160736828306
u65,IN,mobile,paid,80.53862118236889
u66,IN,mobile,organic,123.93143003328983
u67,IN,mobile,organic,96.8294085394606
u68,IN,desktop,paid,99.45390920980137
u69,US,mobile,organic,81.33464081853609
u70,UK,mobile,paid,91.13435497616979
u71,IN,mobile,paid,82.30394571946198
u72,IN,desktop,paid,96.54107880153154
u73,IN,desktop,paid,134.23416960284686
u74,IN,desktop,organic,72.56197714137286
u75,IN,desktop,paid,67.72877204246518
u76,IN,desktop,organic,129.42340654987217
u77,UK,desktop,organic,95.81352645696268
u78,UK,desktop,organic,86.61854522680167
u79,IN,desktop,organic,120.79809374792153
u80,UK,mobile,organic,87.88768920526272
u81,US,mobile,organic,136.52019427093873
u82,IN,desktop,organic,113.55851742678539
u83,US,desktop,organic,90.24177183708595
u84,US,mobile,organic,143.14616426531006
u85,IN,desktop,organic,87.88570153993324
u86,UK,desktop,paid,114.84190744018613
u87,US,desktop,paid,105.98585160812983
u88,IN,mobile,paid,126.03482578797596
u89,US,mobile,organic,131.23022393453707
u90,US,mobile,paid,100.64008298131533
u91,US,mobile,paid,84.93164259307633
u92,US,mobile,paid,109.19944285878233
u93,UK,desktop,organic,86.44569260495788
u94,US,mobile,organic,140.26774495053246
u95,US,desktop,organic,102.73070662165475
u96,US,desktop,organic,92.69356897375782
u97,UK,mobile,paid,103.69360611729817
u98,US,mobile,paid,73.05747420940607
u99,US,desktop,paid,80.56771922978697
u100,UK,desktop,paid,124.00827815888852
u101,UK,desktop,organic,86.86211442057208
u102,UK,mobile,organic,79.0617803463612
